Distinct_ID,Event,Timestamp,Properties.condition,Properties.decision,Properties.time_ms,Properties.task_success,Properties.$browser,Properties.$device_type
usr_001,cookie_interaction,01-07-2026 07:09,Dark_Pattern,Accept_All,12450,FALSE,Chrome,Desktop
usr_002,cookie_interaction,01-07-2026 09:23,Dark_Pattern,Manage_Options,18300,TRUE,Safari,Mobile
usr_003,cookie_interaction,01-07-2026 10:54,Bright_Pattern,Reject_All,4100,TRUE,Firefox,Desktop
usr_004,cookie_interaction,01-07-2026 11:16,Bright_Pattern,Accept_All,3800,FALSE,Chrome,Desktop
usr_005,cookie_interaction,01-07-2026 12:24,Dark_Pattern,Manage_Options,15600,TRUE,Edge,Desktop
usr_006,cookie_interaction,01-07-2026 14:47,Dark_Pattern,Accept_All,9800,FALSE,Chrome,Mobile
usr_007,cookie_interaction,01-07-2026 16:35,Bright_Pattern,Reject_All,5200,TRUE,Safari,Desktop
usr_008,cookie_interaction,01-07-2026 17:02,Bright_Pattern,Reject_All,4600,TRUE,Chrome,Desktop
usr_009,cookie_interaction,01-07-2026 18:12,Dark_Pattern,Accept_All,14200,FALSE,Firefox,Desktop
usr_010,cookie_interaction,02-07-2026 07:43,Dark_Pattern,Manage_Options,21000,TRUE,Safari,Mobile
usr_011,cookie_interaction,02-07-2026 07:55,Bright_Pattern,Reject_All,3900,TRUE,Chrome,Desktop
usr_012,cookie_interaction,02-07-2026 08:55,Bright_Pattern,Accept_All,4200,FALSE,Edge,Desktop
usr_013,cookie_interaction,02-07-2026 09:41,Dark_Pattern,Accept_All,11100,FALSE,Chrome,Desktop
usr_014,cookie_interaction,02-07-2026 12:33,Dark_Pattern,Manage_Options,19500,TRUE,Safari,Desktop
usr_015,cookie_interaction,02-07-2026 13:08,Bright_Pattern,Reject_All,4400,TRUE,Firefox,Mobile
usr_016,cookie_interaction,02-07-2026 14:09,Bright_Pattern,Reject_All,3700,TRUE,Chrome,Desktop
usr_017,cookie_interaction,02-07-2026 15:18,Dark_Pattern,Accept_All,13500,FALSE,Edge,Mobile
usr_018,cookie_interaction,02-07-2026 18:38,Dark_Pattern,Manage_Options,17200,TRUE,Chrome,Desktop
usr_019,cookie_interaction,02-07-2026 19:47,Bright_Pattern,Accept_All,4100,FALSE,Safari,Desktop
