Participant_ID,Condition,Age,Gender,Technical_Proficiency
usr_001,Dark_Pattern,24,Female,Intermediate
usr_002,Dark_Pattern,22,Male,Advanced
usr_003,Bright_Pattern,19,Female,Beginner
usr_004,Bright_Pattern,25,Male,Intermediate
usr_005,Dark_Pattern,44,Female,Advanced
usr_006,Dark_Pattern,20,Male,Intermediate
usr_007,Bright_Pattern,23,Prefer_not_to_answer,Intermediate
usr_008,Bright_Pattern,27,Male,Advanced
usr_009,Dark_Pattern,22,Female,Beginner
usr_010,Dark_Pattern,29,Male,Intermediate
usr_011,Bright_Pattern,19,Male,Beginner
usr_012,Bright_Pattern,24,Female,Intermediate
usr_013,Dark_Pattern,48,Male,Advanced
usr_014,Dark_Pattern,21,Female,Intermediate
usr_015,Bright_Pattern,26,Female,Advanced
usr_016,Bright_Pattern,20,Male,Beginner
usr_017,Dark_Pattern,23,Female,Intermediate
usr_018,Dark_Pattern,28,Male,Advanced
usr_019,Bright_Pattern,22,Female,Intermediate
usr_020,Bright_Pattern,24,Male,Intermediate
usr_021,Dark_Pattern,19,Prefer_not_to_answer,Beginner
usr_022,Dark_Pattern,27,Male,Advanced
usr_023,Bright_Pattern,21,Female,Intermediate
usr_024,Bright_Pattern,25,Male,Intermediate
usr_025,Dark_Pattern,42,Female,Advanced
usr_026,Dark_Pattern,22,Male,Intermediate
usr_027,Bright_Pattern,23,Female,Beginner
usr_028,Bright_Pattern,26,Male,Advanced
usr_029,Dark_Pattern,20,Female,Intermediate
usr_030,Dark_Pattern,24,Male,Intermediate
usr_031,Bright_Pattern,28,Female,Advanced
usr_032,Bright_Pattern,19,Male,Beginner
usr_033,Dark_Pattern,22,Female,Intermediate
usr_034,Dark_Pattern,25,Male,Advanced
usr_035,Bright_Pattern,23,Male,Intermediate
usr_036,Bright_Pattern,27,Female,Intermediate
usr_037,Dark_Pattern,21,Male,Beginner
usr_038,Dark_Pattern,46,Female,Advanced
usr_039,Bright_Pattern,24,Male,Intermediate
usr_040,Bright_Pattern,20,Female,Intermediate
usr_041,Dark_Pattern,26,Male,Advanced
usr_042,Dark_Pattern,22,Female,Intermediate
usr_043,Bright_Pattern,25,Male,Intermediate
usr_044,Bright_Pattern,23,Female,Beginner
usr_045,Dark_Pattern,28,Male,Advanced
usr_046,Dark_Pattern,21,Female,Intermediate
usr_047,Bright_Pattern,24,Prefer_not_to_answer,Intermediate
usr_048,Bright_Pattern,27,Male,Advanced
usr_049,Dark_Pattern,20,Male,Beginner
usr_050,Dark_Pattern,23,Female,Intermediate
usr_051,Bright_Pattern,26,Female,Advanced
usr_052,Bright_Pattern,22,Male,Intermediate
usr_053,Dark_Pattern,24,Male,Intermediate
usr_054,Dark_Pattern,28,Female,Advanced
usr_055,Bright_Pattern,19,Male,Beginner
usr_056,Bright_Pattern,25,Female,Intermediate
usr_057,Dark_Pattern,21,Male,Intermediate
usr_058,Dark_Pattern,27,Female,Advanced
usr_059,Bright_Pattern,22,Female,Intermediate
usr_060,Bright_Pattern,24,Male,Intermediate
usr_061,Dark_Pattern,43,Male,Advanced
usr_062,Dark_Pattern,20,Female,Intermediate
usr_063,Bright_Pattern,23,Male,Beginner
usr_064,Bright_Pattern,26,Female,Advanced
usr_065,Dark_Pattern,22,Male,Intermediate
usr_066,Dark_Pattern,25,Female,Intermediate
usr_067,Bright_Pattern,28,Male,Advanced
usr_068,Bright_Pattern,19,Female,Beginner
usr_069,Dark_Pattern,24,Female,Intermediate
usr_070,Dark_Pattern,21,Male,Advanced
usr_071,Bright_Pattern,27,Female,Intermediate
usr_072,Bright_Pattern,23,Male,Intermediate
usr_073,Dark_Pattern,20,Male,Beginner
usr_074,Dark_Pattern,26,Female,Advanced
usr_075,Bright_Pattern,22,Female,Intermediate
usr_076,Bright_Pattern,25,Male,Intermediate
usr_077,Dark_Pattern,29,Male,Advanced
usr_078,Dark_Pattern,21,Female,Intermediate
usr_079,Bright_Pattern,24,Male,Intermediate
usr_080,Bright_Pattern,20,Female,Beginner
usr_081,Dark_Pattern,23,Female,Intermediate
usr_082,Dark_Pattern,27,Male,Advanced
usr_083,Bright_Pattern,22,Male,Intermediate
usr_084,Bright_Pattern,26,Female,Intermediate
usr_085,Dark_Pattern,24,Male,Advanced
usr_086,Dark_Pattern,19,Female,Beginner
usr_087,Bright_Pattern,28,Female,Advanced
usr_088,Bright_Pattern,21,Male,Intermediate
usr_089,Dark_Pattern,25,Male,Intermediate
usr_090,Dark_Pattern,22,Female,Advanced
usr_091,Bright_Pattern,27,Female,Intermediate
usr_092,Bright_Pattern,20,Male,Beginner
usr_093,Dark_Pattern,23,Male,Intermediate
usr_094,Dark_Pattern,47,Female,Advanced
usr_095,Bright_Pattern,24,Female,Intermediate
usr_096,Bright_Pattern,21,Male,Intermediate
usr_097,Dark_Pattern,28,Male,Advanced
usr_098,Dark_Pattern,22,Female,Intermediate
usr_099,Bright_Pattern,25,Male,Intermediate
usr_100,Bright_Pattern,23,Female,Beginner
usr_101,Dark_Pattern,20,Female,Intermediate
usr_102,Dark_Pattern,26,Male,Advanced
usr_103,Bright_Pattern,22,Male,Intermediate
usr_104,Bright_Pattern,24,Female,Intermediate
usr_105,Dark_Pattern,27,Male,Advanced
usr_106,Dark_Pattern,21,Female,Beginner
usr_107,Bright_Pattern,25,Female,Intermediate
usr_108,Bright_Pattern,23,Male,Advanced
usr_109,Dark_Pattern,28,Female,Intermediate
usr_110,Dark_Pattern,20,Male,Intermediate
usr_111,Bright_Pattern,24,Male,Advanced
