Participant_ID,Condition,Decision,Time_to_Click_ms,Task_Success,Rage_Clicks,Browser,Device_Type
usr_001,Dark_Pattern,Accept_All,12450,FALSE,2,Chrome,Desktop
usr_002,Dark_Pattern,Manage_Options,18300,TRUE,0,Safari,Mobile
usr_003,Bright_Pattern,Reject_All,4100,TRUE,0,Firefox,Desktop
usr_004,Bright_Pattern,Accept_All,3800,FALSE,0,Chrome,Desktop
usr_005,Dark_Pattern,Manage_Options,15600,TRUE,1,Edge,Desktop
usr_006,Dark_Pattern,Accept_All,9800,FALSE,3,Chrome,Mobile
usr_007,Bright_Pattern,Reject_All,5200,TRUE,0,Safari,Desktop
usr_008,Bright_Pattern,Reject_All,4600,TRUE,0,Chrome,Desktop
usr_009,Dark_Pattern,Accept_All,14200,FALSE,1,Firefox,Desktop
usr_010,Dark_Pattern,Manage_Options,21000,TRUE,2,Safari,Mobile
usr_011,Bright_Pattern,Reject_All,3900,TRUE,0,Chrome,Desktop
usr_012,Bright_Pattern,Accept_All,4200,FALSE,0,Edge,Desktop
usr_013,Dark_Pattern,Accept_All,11100,FALSE,2,Chrome,Desktop
usr_014,Dark_Pattern,Manage_Options,19500,TRUE,1,Safari,Desktop
usr_015,Bright_Pattern,Reject_All,4400,TRUE,0,Firefox,Mobile
usr_016,Bright_Pattern,Reject_All,3700,TRUE,0,Chrome,Desktop
usr_017,Dark_Pattern,Accept_All,13500,FALSE,2,Edge,Mobile
usr_018,Dark_Pattern,Manage_Options,17200,TRUE,0,Chrome,Desktop
usr_019,Bright_Pattern,Accept_All,4100,FALSE,0,Safari,Desktop
usr_020,Bright_Pattern,Reject_All,4800,TRUE,0,Chrome,Desktop
usr_021,Dark_Pattern,Accept_All,15800,FALSE,3,Firefox,Desktop
usr_022,Dark_Pattern,Manage_Options,23100,TRUE,2,Chrome,Mobile
usr_023,Bright_Pattern,Reject_All,3500,TRUE,0,Safari,Desktop
usr_024,Bright_Pattern,Accept_All,3900,FALSE,0,Edge,Desktop
usr_025,Dark_Pattern,Accept_All,10400,FALSE,1,Chrome,Desktop
usr_026,Dark_Pattern,Manage_Options,18900,TRUE,1,Safari,Mobile
usr_027,Bright_Pattern,Reject_All,5600,TRUE,0,Firefox,Desktop
usr_028,Bright_Pattern,Reject_All,4300,TRUE,0,Chrome,Desktop
usr_029,Dark_Pattern,Accept_All,14500,FALSE,2,Edge,Desktop
usr_030,Dark_Pattern,Manage_Options,16600,TRUE,0,Chrome,Mobile
usr_031,Bright_Pattern,Reject_All,5100,TRUE,0,Safari,Desktop
usr_032,Bright_Pattern,Accept_All,3600,FALSE,0,Chrome,Desktop
usr_033,Dark_Pattern,Accept_All,12800,FALSE,1,Firefox,Mobile
usr_034,Dark_Pattern,Manage_Options,20400,TRUE,2,Safari,Desktop
usr_035,Bright_Pattern,Reject_All,3800,TRUE,0,Chrome,Desktop
usr_036,Bright_Pattern,Reject_All,4500,TRUE,0,Edge,Desktop
usr_037,Dark_Pattern,Accept_All,9200,FALSE,1,Chrome,Desktop
usr_038,Dark_Pattern,Manage_Options,17800,TRUE,1,Safari,Mobile
usr_039,Bright_Pattern,Accept_All,4000,FALSE,0,Firefox,Desktop
usr_040,Bright_Pattern,Reject_All,4900,TRUE,0,Chrome,Desktop
usr_041,Dark_Pattern,Accept_All,15300,FALSE,3,Edge,Desktop
usr_042,Dark_Pattern,Manage_Options,21500,TRUE,0,Chrome,Mobile
usr_043,Bright_Pattern,Reject_All,3600,TRUE,0,Safari,Desktop
usr_044,Bright_Pattern,Accept_All,3700,FALSE,0,Chrome,Desktop
usr_045,Dark_Pattern,Accept_All,11700,FALSE,2,Firefox,Desktop
usr_046,Dark_Pattern,Manage_Options,19200,TRUE,1,Safari,Desktop
usr_047,Bright_Pattern,Reject_All,5300,TRUE,0,Chrome,Mobile
usr_048,Bright_Pattern,Reject_All,4200,TRUE,0,Edge,Desktop
usr_049,Dark_Pattern,Accept_All,13900,FALSE,2,Chrome,Desktop
usr_050,Dark_Pattern,Manage_Options,18700,TRUE,0,Safari,Mobile
usr_051,Bright_Pattern,Accept_All,4100,FALSE,0,Firefox,Desktop
usr_052,Bright_Pattern,Reject_All,4700,TRUE,0,Chrome,Desktop
usr_053,Dark_Pattern,Accept_All,12900,FALSE,2,Edge,Desktop
usr_054,Dark_Pattern,Manage_Options,22800,TRUE,2,Chrome,Mobile
usr_055,Bright_Pattern,Reject_All,3400,TRUE,0,Safari,Desktop
usr_056,Bright_Pattern,Accept_All,3900,FALSE,0,Chrome,Desktop
usr_057,Dark_Pattern,Accept_All,10800,FALSE,1,Firefox,Desktop
usr_058,Dark_Pattern,Manage_Options,17000,TRUE,1,Safari,Mobile
usr_059,Bright_Pattern,Reject_All,5500,TRUE,0,Chrome,Desktop
usr_060,Bright_Pattern,Reject_All,4400,TRUE,0,Edge,Desktop
usr_061,Dark_Pattern,Accept_All,14800,FALSE,2,Chrome,Desktop
usr_062,Dark_Pattern,Manage_Options,20100,TRUE,0,Safari,Desktop
usr_063,Bright_Pattern,Accept_All,3800,FALSE,0,Firefox,Mobile
usr_064,Bright_Pattern,Reject_All,5000,TRUE,0,Chrome,Desktop
usr_065,Dark_Pattern,Accept_All,13200,FALSE,2,Edge,Desktop
usr_066,Dark_Pattern,Manage_Options,18500,TRUE,1,Chrome,Mobile
usr_067,Bright_Pattern,Reject_All,3900,TRUE,0,Safari,Desktop
usr_068,Bright_Pattern,Accept_All,3600,FALSE,0,Chrome,Desktop
usr_069,Dark_Pattern,Accept_All,10600,FALSE,1,Firefox,Desktop
usr_070,Dark_Pattern,Manage_Options,22100,TRUE,2,Safari,Desktop
usr_071,Bright_Pattern,Reject_All,4800,TRUE,0,Chrome,Mobile
usr_072,Bright_Pattern,Reject_All,4300,TRUE,0,Edge,Desktop
usr_073,Dark_Pattern,Accept_All,15900,FALSE,3,Chrome,Desktop
usr_074,Dark_Pattern,Manage_Options,19300,TRUE,1,Safari,Mobile
usr_075,Bright_Pattern,Accept_All,4200,FALSE,0,Firefox,Desktop
usr_076,Bright_Pattern,Reject_All,4600,TRUE,0,Chrome,Desktop
usr_077,Dark_Pattern,Accept_All,12100,FALSE,2,Edge,Desktop
usr_078,Dark_Pattern,Manage_Options,17500,TRUE,0,Chrome,Mobile
usr_079,Bright_Pattern,Reject_All,5400,TRUE,0,Safari,Desktop
usr_080,Bright_Pattern,Accept_All,3700,FALSE,0,Chrome,Desktop
usr_081,Dark_Pattern,Accept_All,13700,FALSE,1,Firefox,Desktop
usr_082,Dark_Pattern,Manage_Options,20800,TRUE,2,Safari,Mobile
usr_083,Bright_Pattern,Reject_All,3600,TRUE,0,Chrome,Desktop
usr_084,Bright_Pattern,Reject_All,4500,TRUE,0,Edge,Desktop
usr_085,Dark_Pattern,Accept_All,10300,FALSE,2,Chrome,Desktop
usr_086,Dark_Pattern,Manage_Options,19700,TRUE,0,Safari,Desktop
usr_087,Bright_Pattern,Accept_All,4000,FALSE,0,Firefox,Mobile
usr_088,Bright_Pattern,Reject_All,5100,TRUE,0,Chrome,Desktop
usr_089,Dark_Pattern,Accept_All,14400,FALSE,3,Edge,Desktop
usr_090,Dark_Pattern,Manage_Options,21200,TRUE,1,Chrome,Mobile
usr_091,Bright_Pattern,Reject_All,3800,TRUE,0,Safari,Desktop
usr_092,Bright_Pattern,Accept_All,3900,FALSE,0,Chrome,Desktop
usr_093,Dark_Pattern,Accept_All,11800,FALSE,1,Firefox,Desktop
usr_094,Dark_Pattern,Manage_Options,18200,TRUE,1,Safari,Desktop
usr_095,Bright_Pattern,Reject_All,5200,TRUE,0,Chrome,Mobile
usr_096,Bright_Pattern,Reject_All,4400,TRUE,0,Edge,Desktop
usr_097,Dark_Pattern,Accept_All,15600,FALSE,2,Chrome,Desktop
usr_098,Dark_Pattern,Manage_Options,22500,TRUE,2,Safari,Mobile
usr_099,Bright_Pattern,Accept_All,4100,FALSE,0,Firefox,Desktop
usr_100,Bright_Pattern,Reject_All,4900,TRUE,0,Chrome,Desktop
usr_101,Dark_Pattern,Accept_All,13600,FALSE,2,Chrome,Desktop
usr_102,Dark_Pattern,Manage_Options,20500,TRUE,1,Safari,Mobile
usr_103,Bright_Pattern,Reject_All,3500,TRUE,0,Firefox,Desktop
usr_104,Bright_Pattern,Accept_All,3800,FALSE,0,Chrome,Desktop
usr_105,Dark_Pattern,Manage_Options,16500,TRUE,1,Edge,Desktop
usr_106,Dark_Pattern,Accept_All,11200,FALSE,2,Chrome,Mobile
usr_107,Bright_Pattern,Reject_All,5300,TRUE,0,Safari,Desktop
usr_108,Bright_Pattern,Reject_All,4700,TRUE,0,Chrome,Desktop
usr_109,Dark_Pattern,Accept_All,14900,FALSE,2,Firefox,Desktop
usr_110,Dark_Pattern,Manage_Options,19800,TRUE,1,Safari,Mobile
usr_111,Bright_Pattern,Reject_All,4000,TRUE,0,Chrome,Desktop
usr_112,Bright_Pattern,Accept_All,4100,FALSE,0,Edge,Desktop
usr_113,Dark_Pattern,Accept_All,12700,FALSE,1,Chrome,Desktop
usr_114,Dark_Pattern,Manage_Options,21400,TRUE,2,Safari,Desktop
usr_115,Bright_Pattern,Reject_All,4600,TRUE,0,Firefox,Mobile
usr_116,Bright_Pattern,Reject_All,3900,TRUE,0,Chrome,Desktop
usr_117,Dark_Pattern,Accept_All,14100,FALSE,2,Edge,Mobile
usr_118,Dark_Pattern,Manage_Options,17700,TRUE,0,Chrome,Desktop
usr_119,Bright_Pattern,Accept_All,4200,FALSE,0,Safari,Desktop
usr_120,Bright_Pattern,Reject_All,4800,TRUE,0,Chrome,Desktop
usr_121,Dark_Pattern,Accept_All,16200,FALSE,3,Firefox,Desktop
usr_122,Dark_Pattern,Manage_Options,23700,TRUE,2,Chrome,Mobile
usr_123,Bright_Pattern,Reject_All,3700,TRUE,0,Safari,Desktop
usr_124,Bright_Pattern,Accept_All,4000,FALSE,0,Edge,Desktop
usr_125,Dark_Pattern,Accept_All,10900,FALSE,1,Chrome,Desktop
usr_126,Dark_Pattern,Manage_Options,19000,TRUE,1,Safari,Mobile
usr_127,Bright_Pattern,Reject_All,5700,TRUE,0,Firefox,Desktop
usr_128,Bright_Pattern,Reject_All,4300,TRUE,0,Chrome,Desktop
